id,name,latitude,longitude,GDP1985,GDP1990,GDP1995,GDP2000,GDP2005,GDP2010,GDP2015
19,United States,39.4959145,-98.9899826,4350,5980,7660,10300,13100,15000,18100
18,China,36.5631142,103.7358093,309,361,735,1210,2290,6100,11100
13,Japan,36.6533356,137.9816895,1400,3130,5450,4890,4760,5700,4390
12,Germany,51.1218071,10.4006948,730,1760,2590,1950,2860,3420,3380
11,United Kingdom,53.9438324,-2.5505641,489,1090,1340,1650,2520,2440,2890
10,France,46.6218414,2.4519441,553,1270,1600,1360,2200,2640,2440
9,India,22.4931183,79.7270126,229,317,355,462,809,1660,2100
8,Italy,43.5290298,12.1621838,451,1180,1170,1140,1850,2130,1830
7,Brazil,-10.776803,-53.0680847,223,462,769,655,892,2210,1800
6,Canada,62.5360413,-96.3883514,365,594,604,742,1170,1610,1560
5,"Korea, Rep.",36.4511566,127.861145,100,279,556,562,898,1090,1380
4,Australia,-25.5789375,134.3597107,180,311,367,415,693,1140,1350
3,Spain,40.3876953,-3.5573909,180,535,613,595,1160,1430,1200
2,Mexico,23.9406204,-102.5251389,195,261,360,708,877,1060,1170
1,Indonesia,-0.210123,113.9972305,85,106,202,165,286,755,861
