id,name,latitude,longitude,yr2015,yr2010,yr2005,yr2000,yr1995,yr1990,yr1985
1,Argentina,-35.1811447,-65.0938568,5.00E+12,1.32E+12,4.38E+11,2.61E+11,2.34E+11,60722517750,4480247
2,Australia,-25.5789375,134.3597107,1.28E+12,1.03E+12,7.39E+11,5.39E+11,3.99E+11,3.12E+11,1.95E+11
3,Brazil,-10.776803,-53.0680847,5.02E+12,3.08E+12,1.72E+12,9.90E+11,5.92E+11,9430778,380
4,Canada,62.5360413,-96.3883514,1.56E+12,1.30E+12,1.04E+12,8.11E+11,6.42E+11,5.43E+11,3.79E+11
5,China,36.5631142,103.7358093,3.62E+13,1.99E+13,1.01E+13,6.37E+12,3.62E+12,1.20E+12,5.92E+11
6,Cuba,21.6105175,-78.9602737,76616000000,54729000000,37065300000,27668600000,22620533972,18289021683,17360699496
7,Egypt,26.5784569,29.7768764,2.30E+12,1.03E+12,4.58E+11,2.92E+11,1.90E+11,81061348083,34944923921
8,France,46.6218414,2.4519441,1.71E+12,1.58E+12,1.37E+12,1.13E+12,9.49E+11,8.05E+11,6.00E+11
9,Germany,51.1218071,10.4006948,2.22E+12,1.94E+12,1.75E+12,1.60E+12,1.44E+12,1.10E+12,8.72E+11
10,Iceland,64.9836426,-18.5770988,1.68E+12,1.27E+12,8.72E+11,5.80E+11,3.63E+11,2.96E+11,98938716200
11,Indonesia,-0.210123,113.9972305,7.75E+15,4.48E+15,2.13E+15,1.00E+15,3.38E+14,1.50E+14,7.35E+13
12,Iran,32.5642624,54.3036728,7.19E+15,2.71E+15,1.08E+15,3.99E+14,1.27E+14,2.99E+13,1.31E+13
13,Japan,36.6533356,137.9816895,4.07E+14,3.86E+14,3.87E+14,3.75E+14,3.53E+14,2.94E+14,2.23E+14
14,Malaysia,3.6054671,114.7107239,7.79E+11,4.99E+11,3.03E+11,1.92E+11,1.34E+11,78113000000,52127000000
15,Singapore,1.29018,103.8519897,1.94E+11,1.47E+11,1.05E+11,86365500000,61165200000,38260900000,23793600000
16,South Africa,-29.0023098,25.0803165,3.25E+12,2.18E+12,1.34E+12,7.67E+11,4.52E+11,2.38E+11,95197391688
17,Switzerland,46.800209,8.2291985,4.27E+11,3.99E+11,3.50E+11,3.18E+11,2.83E+11,2.40E+11,1.87E+11
18,United Kingdom,53.9438324,-2.5505641,1.60E+12,1.37E+12,1.18E+12,9.07E+11,6.87E+11,5.22E+11,3.26E+11
19,United States,39.4959145,-98.9899826,1.49E+13,1.27E+13,1.07E+13,8.20E+12,6.10E+12,4.76E+12,3.40E+12
